num_teste,caso,tenure,max_iter,sol_ini,iter_sem_mod,tempo,custo,gap,otimo_global
0,A-n33-k5.vrp,40,500,Savings,500,12.270997762680054,702.8839624170089,0.063365,661.0
1,A-n33-k5.vrp,40,500,Savings,500,25.49500060081482,706.1907254081782,0.068367,661.0
2,A-n33-k6.vrp,40,500,Savings,500,18.71000099182129,752.5840720543813,0.014264,742.0
3,A-n33-k6.vrp,40,500,Savings,500,13.751996278762816,752.5840720543813,0.014264,742.0
4,A-n34-k5.vrp,41,500,Savings,500,12.43199634552002,794.1178640272167,0.020717,778.0
5,A-n34-k5.vrp,41,500,Savings,500,19.07200193405152,792.3949217150825,0.018502,778.0
6,A-n36-k5.vrp,44,500,Savings,500,13.414998292922974,806.7828790914791,0.009741,799.0
7,A-n36-k5.vrp,44,500,Savings,500,14.165996551513672,814.7218889913958,0.019677,799.0
8,A-n37-k5.vrp,45,500,Savings,500,26.574002504348755,695.2406118369089,0.039224,669.0
9,A-n37-k5.vrp,45,500,Savings,500,25.61299967765808,712.190593660051,0.06456,669.0
10,A-n37-k6.vrp,45,500,Savings,500,17.456993341445923,959.8408512467726,0.011423,949.0
11,A-n37-k6.vrp,45,500,Savings,500,17.418002605438232,959.8408512467726,0.011423,949.0
12,A-n38-k5.vrp,46,500,Savings,500,17.672990798950195,793.1244969617774,0.086472,730.0
13,A-n38-k5.vrp,46,500,Savings,500,17.494995594024658,793.1244969617774,0.086472,730.0
14,A-n39-k5.vrp,47,500,Savings,500,29.00215744972229,854.0132795619969,0.038946,822.0
15,A-n39-k5.vrp,47,500,Savings,500,29.661704301834103,864.6878486305337,0.051932,822.0
16,A-n39-k6.vrp,47,500,Savings,500,18.84757256507873,839.7349076312468,0.010511,831.0
17,A-n39-k6.vrp,47,500,Savings,500,19.01499366760254,839.7349076312468,0.010511,831.0
18,A-n44-k7.vrp,53,500,Savings,500,65.7298059463501,972.4753433099568,0.037861,937.0
19,A-n44-k7.vrp,53,500,Savings,500,36.99699950218201,971.7702455494864,0.037108,937.0
20,A-n45-k6.vrp,54,500,Savings,500,28.433996438980103,1113.4085867755682,0.179458,944.0
21,A-n45-k6.vrp,54,500,Savings,500,41.65999031066895,1105.1410176174672,0.1707,944.0
